Project,Classification,Comment
argouml,DEFECT,"// TODO: This appears to expect that the UML 1.3 tag name // will appear as a property name in an event, but with the // UML 1.4 switch to TagDefinitions, this won't work"
argouml,DEFECT,// Appears to be gone from UML 2.x
apache-jmeter-2.10,DEFECT,"/*          * This means that a new page will be shown before rendering is complete,          * however the correct location will be displayed.          * Attempts to use a ""page"" PropertyChangeListener to detect when the page          * has been loaded failed to work any better.           */"
jfreechart-1.0.19,DEFECT,// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3
jEdit-4.2,DEFECT,/* two plugins provide same class! */
argouml,DESIGN,/**      * The constructor.<p>      *      * TODO: Is this constructor used? What is the purpose with it?      *      * @param n the name to be localized      * @param subs the go rules      */
hibernate-distribution-3.3.2.GA,DESIGN,//TODO: is there a better way?
emf-2.4.1,DESIGN,"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas."
columba-1.4-src,DESIGN,// TODO (@author fdietz): move this to AbstractMessageFolder constructor
jruby-1.4.0,DESIGN,// TODO: rounding mode should not be hard-coded. See #mode.
argouml,DESIGN,// TODO: Encountering a deleted object during // any part of this traversal will // abort the rest of the traversal. // We probably should do the whole traversal // in a single MDR transaction.
jruby-1.4.0,DESIGN,// TODO: this method is not present in MRI!
hibernate-distribution-3.3.2.GA,DESIGN,"// todo : should this get moved to PersistentContext? // logically, is PersistentContext the ""thing"" to which an interceptor gets attached?"
jfreechart-1.0.19,DESIGN,// defer argument checking
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// a redraw should NOT trigger another change event
sql12,DESIGN,"//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type."
argouml,DESIGN,// TODO: Do we want the top level package here instead of the immediate // parent?
jruby-1.4.0,DESIGN,"// if we don't have opt args, start after args (they will be assigned later) // this is for crap like def foo(a = (b = true; 1)) which numbers b before a // FIXME: only starting after required args, since opt args may access others // and rest args conflicts with compileRoot using ""0"" to indicate [] signature."
hibernate-distribution-3.3.2.GA,DESIGN,"// todo: we should really just collect these from the various SelectExpressions, rather than regenerating here"
sql12,DESIGN,// ??Need to tell object to display itself in a panel.
apache-jmeter-2.10,DESIGN,// How many classes can we assign from? // TODO: there must be a nicer way...
argouml,DESIGN,// TODO: This will need to be adapted to send undo/redo commands back // to our consumer (e.g. ArgoUML) if a new undo mechanism is implemented // for the Model subsystem - tfm
argouml,DESIGN,"// TODO: this should be more extensible... may be only // ""findPanelFor(target)"" if there is a panel why not show it?"
argouml,DESIGN,"/**  * This is the ""main"" class for the GUI subsystem.<p>  *  * Users of the GUI subsystem, i.e. components that are to place themselves  * in any of the GUI components, register themselves in this class.<p>  *  * TODO: Add the rest of the registers to this.  *  * @author Linus Tolke  * @since 0.21.3  */"
jruby-1.4.0,DESIGN,// TODO: need to get this back into the method signature...now is too late...
argouml,DESIGN,/**      * Builds a default implementation for a class. The class is not owned by      * any model element by default. Users should not forget to add ownership.      *      * @return newly created Class      * TODO: This needs an extra parameter to specify the model/extent where      * the new element should be created.      */
sql12,DESIGN,/*      *      *      * Implement IDataSetUpdateableModel interface      * and IDataSetUpdateableTableModel interface      *      * TODO: THIS CODE WAS COPIED FROM ContentsTab.  IT SHOULD PROBABLY      * BE PUT INTO A COMMON LOCATION AND SHARED BY BOTH THIS      * CLASS AND ContentsTab.      *      *      */
apache-ant-1.7.0,DESIGN,// *************  copied from ConcatTest  *************
argouml,DESIGN,// TODO: Can this be made more restrictive? // Do we care about any attributes other than name? - tfm
jruby-1.4.0,DESIGN,// from DUP_SETUP // rb_copy_generic_ivar from DUP_SETUP here ...unlikely..
columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n
argouml,DOCUMENTATION,// TODO: Document why we catch this.
argouml,IMPLEMENTATION,// not needed
argouml,IMPLEMENTATION,// TODO: Why aren't we throwing an exception here? // Returning null results in NPE and no explanation why.
