baseline_total_mapped_instances,baseline_correct_mapping,baseline_mapping_accuracy,nlp_total_mapped_instances,nlp_correct_mapping,nlp_mapping_accuracy
20,0,0.0,20,7,35.0
20,0,0.0,20,7,35.0
21,0,0.0,21,7,33.33333333333333
20,0,0.0,20,6,30.0
20,0,0.0,20,8,40.0
19,0,0.0,19,5,26.31578947368421
20,0,0.0,20,5,25.0
20,0,0.0,20,5,25.0
20,0,0.0,20,6,30.0
20,0,0.0,20,6,30.0
20,0,0.0,20,10,50.0
20,0,0.0,20,8,40.0
21,0,0.0,21,10,47.61904761904761
20,0,0.0,20,7,35.0
20,0,0.0,20,10,50.0
19,0,0.0,19,6,31.57894736842105
20,0,0.0,20,7,35.0
20,0,0.0,20,6,30.0
20,0,0.0,20,9,45.0
20,0,0.0,20,7,35.0
