Comment,cwe_mapping
"// TODO: This appears to expect that the UML 1.3 tag name // will appear as a property name in an event, but with the // UML 1.4 switch to TagDefinitions, this won't work",N/a
// Appears to be gone from UML 2.x,N/a
"/*          * This means that a new page will be shown before rendering is complete,          * however the correct location will be displayed.          * Attempts to use a ""page"" PropertyChangeListener to detect when the page          * has been loaded failed to work any better.           */",N/a
// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3,N/a
/* two plugins provide same class! */,N/a
/**      * The constructor.<p>      *      * TODO: Is this constructor used? What is the purpose with it?      *      * @param n the name to be localized      * @param subs the go rules      */,N/a
//TODO: is there a better way?,N/a
"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas.",CWE-287: Improper Authentication
// TODO (@author fdietz): move this to AbstractMessageFolder constructor,CWE-287: Improper Authentication
// TODO: rounding mode should not be hard-coded. See #mode.,N/a
// TODO: Encountering a deleted object during // any part of this traversal will // abort the rest of the traversal. // We probably should do the whole traversal // in a single MDR transaction.,N/a
// TODO: this method is not present in MRI!,N/a
"// todo : should this get moved to PersistentContext? // logically, is PersistentContext the ""thing"" to which an interceptor gets attached?",N/a
// defer argument checking,N/a
// defer argument checking...,N/a
// a redraw should NOT trigger another change event,N/a
"//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.",N/a
// TODO: Do we want the top level package here instead of the immediate // parent?,N/a
"// if we don't have opt args, start after args (they will be assigned later) // this is for crap like def foo(a = (b = true; 1)) which numbers b before a // FIXME: only starting after required args, since opt args may access others // and rest args conflicts with compileRoot using ""0"" to indicate [] signature.",N/a
"// todo: we should really just collect these from the various SelectExpressions, rather than regenerating here",N/a
// ??Need to tell object to display itself in a panel.,N/a
// How many classes can we assign from? // TODO: there must be a nicer way...,N/a
// TODO: This will need to be adapted to send undo/redo commands back // to our consumer (e.g. ArgoUML) if a new undo mechanism is implemented // for the Model subsystem - tfm,N/a
"// TODO: this should be more extensible... may be only // ""findPanelFor(target)"" if there is a panel why not show it?",N/a
"/**  * This is the ""main"" class for the GUI subsystem.<p>  *  * Users of the GUI subsystem, i.e. components that are to place themselves  * in any of the GUI components, register themselves in this class.<p>  *  * TODO: Add the rest of the registers to this.  *  * @author Linus Tolke  * @since 0.21.3  */",CWE-287: Improper Authentication
// TODO: need to get this back into the method signature...now is too late...,N/a
/**      * Builds a default implementation for a class. The class is not owned by      * any model element by default. Users should not forget to add ownership.      *      * @return newly created Class      * TODO: This needs an extra parameter to specify the model/extent where      * the new element should be created.      */,N/a
/*      *      *      * Implement IDataSetUpdateableModel interface      * and IDataSetUpdateableTableModel interface      *      * TODO: THIS CODE WAS COPIED FROM ContentsTab.  IT SHOULD PROBABLY      * BE PUT INTO A COMMON LOCATION AND SHARED BY BOTH THIS      * CLASS AND ContentsTab.      *      *      */,N/a
// *************  copied from ConcatTest  *************,N/a
// TODO: Can this be made more restrictive? // Do we care about any attributes other than name? - tfm,N/a
// from DUP_SETUP // rb_copy_generic_ivar from DUP_SETUP here ...unlikely..,N/a
//TODO (@author fdietz): i18n,CWE-287: Improper Authentication
// TODO: Document why we catch this.,N/a
// not needed,N/a
// TODO: Why aren't we throwing an exception here? // Returning null results in NPE and no explanation why.,N/a
// TODO: Do we need this? Is this the same as emptyFig.getHeight()?,N/a
// TODO Binary incompatibility; an old override must override putAll.,N/a
"/**      * Removes a listener, eventtype pair from the listener list.      *      * TODO: replace the listener implementation with a EventListenerList      * for better performance      *      * @param event the event to which the listener will not listen any more      * @param listener the listener to be removed      */",N/a
// TODO: Tentative implementation. Do we want something that updates // the list of open projects or just simple open and close events? -tfm,N/a
// TODO: This shouldn't require two passes through the list - tfm,N/a
/* We need to extend the ExtensionMechanismsFactory so that                   * we can replace the above deprecated call with something like this: */,N/a
// ?R  | boolean | True if file is readable by the real uid/gid of the caller // FIXME: Need to implement an readable_real_p in FileTest,N/a
//{{{ isSelectionRectangular() method,N/a
// check if starting new column,N/a
// shape sequence,N/a
//i18n[ColumnListDialog.modifyTitle=Select Column To Modify],N/a
"// variable is never read, variable is never live",N/a
//{{{ Constants,N/a
//}}},N/a
// -----  member variables  -----,N/a
//set upperLeft point // x is minor,N/a
//{{{ mouseDragged() method,N/a
//// OUTLINE PAINT ////////////////////////////////////////////////////////,N/a
// Bug can generate RTE,N/a
// COLUMN_NAME,N/a
// classify nodes by base path,N/a
//{{{ ok() method,N/a
// i18n[DatabaseMetaData.nullableTypeNoNulls=false],N/a
// Sort the rows by the property name.,N/a
//{{{ _backup() method,N/a
// a Long kept updated by advanceTime(),N/a
"// user just entered the hour, so append min & sec",N/a
/*      * @see org.argouml.persistence.AbstractFilePersister#getDesc()      */,N/a
// No point checking an empty keystore,N/a
"// value is already on stack, save it for later",N/a
// Either the IEditingDomainItemProvider or ITreeItemContentProvider item provider interface can give us // the children. //,N/a
//{{{ isVisible() method,N/a
//connect to the remote site (may take some time),N/a
/* shape visible = */,N/a
/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,N/a
/*      * @see org.tigris.gef.presentation.Fig#paint(java.awt.Graphics)      */,N/a
// add the listeners to the newOwner,N/a
// Quadrant II & III,N/a
/*      * @see junit.framework.TestCase#setUp()      */,N/a
/*          * @see org.argouml.uml.ui.UMLComboBoxModel#isValidElement(Object)          */,N/a
//{{{ getToolTipLocation() method,N/a
// $NON-NLS-1$,N/a
/* nothing done between begin/end calls */,N/a
// deal with the resource collections,N/a
// Try again after shutdown,N/a
/* 	 * (non-Javadoc) 	 *  	 * @see net.sourceforge.squirrel_sql.plugins.dbcopy.dialects.HibernateDialect#getMaxPrecision(int) 	 */,N/a
// all local and columns for the other tables..,N/a
// Make sure all the data is flushed out,N/a
// Users should not normally see this.,N/a
//{{{ clear() method,N/a
"// verify t belongs to the curve (range [0, _m-1])",N/a
// two jars same version // two jars same version,N/a
//}}},N/a
// calculate size and return it,N/a
// line 896,N/a
// Get the current classpath from the sysloader // through reflection,N/a
//$NON-NLS-1$,N/a
// check that the series visible flag is observed,N/a
//overwrite old bundle,N/a
"//tmpPosition is required because getPosition()'s side effects. //if the warning is generated, the getPosition() on line 954 (this line + 18) will create //a wrong position if the ""inclusive"" flag is not set.",N/a
// CheckStyle:VisibilityModifier ON,N/a
/* Upper / Lower case */,N/a
//{{{ getRowCount() method,N/a
//negatives not allowed and lower range bound is zero //use data range bound instead,N/a
//}}},N/a
// i18n[mssql.allViews=All views],N/a
/*1D400..1D7FF;*/,N/a
// update tree model,N/a
// Make the edge go between nearest points,N/a
"// Required for MouseListener interface, but we only care about clicks",N/a
// eh?!,N/a
// Compute the holder of the proxy //,N/a
/* (non-Javadoc) 		 * @see javax.swing.table.DefaultTableModel#getRowCount() 		 */,N/a
/* Font */,N/a
//}}},N/a
//i18n[ColumnDetailsDialog.tableNameLabel=Table Name: ],N/a
// copy the source and support files,N/a
//{{{ insertFile() method,N/a
// DataType // 4.5.3.12 [1],N/a
// we may have more than one statement in sql at this point,N/a
// line 1381,N/a
// drawVolume,N/a
// out of byte range // there will be no match for sure,N/a
/* static methods only - hide constructor */,N/a
// Primitive to arbitrary object type.  // Allow Primitive.castToType() to handle it as well as cases of  // Primitive.NULL and Primitive.VOID,N/a
// ORPHAN DELETE (used for programmer error detection),N/a
"// execute application, enabling blocking",N/a
//SimpleAnyTypeImpl,N/a
/* (non-Javadoc)      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,N/a
// We know that URL arguments should always be encoded in UTF-8 according to spec,N/a
//$NON-NLS-1$ //$NON-NLS-1$,N/a
// private DBUtils dbUtils;,N/a
/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getChildren(java.lang.Object)      */,N/a
//ignore,N/a
/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getDependencies(java.lang.Object)      */,N/a
// do nothing,N/a
// i.e. is == null,N/a
/* end class CrMultiComposite */,N/a
// Column,N/a
//{{{ unregister() method,N/a
// collect entity and tool tip information...,N/a
/*      * @see java.awt.event.MouseListener#mouseReleased(java.awt.event.MouseEvent)      */,N/a
/*      * @see org.argouml.uml.diagram.ui.FigNodeModelElement#renderingChanged()      */,N/a
//{{{ Expand the fold...,N/a
// create stream from string,N/a
//{{{ Position match hints,N/a
"// lower all except the last upper case character if there are // more than one upper case characters in the beginning. // e.g. XSDElementContent -> xsdElementContent // However if the whole string is upper case, the whole string // is turned into lower case. // e.g. CPU -> cpu",N/a
// notify all listeners,N/a
//}}},N/a
// Oracle's 'TIMESTAMP WITH TIME ZONE' == -101 // Oracle's 'TIMESTAMP WITH LOCAL TIME ZONE' == // -102,N/a
/*      * @see java.awt.event.ActionListener#actionPerformed(      *         java.awt.event.ActionEvent)      */,N/a
// to be safe...,N/a
// set name of column,N/a
// mail folder tree,N/a
