Comment,baseline_result,nlp_result,sasd
"// TODO: This appears to expect that the UML 1.3 tag name // will appear as a property name in an event, but with the // UML 1.4 switch to TagDefinitions, this won't work",False,True,False
// Appears to be gone from UML 2.x,False,False,False
"/*          * This means that a new page will be shown before rendering is complete,          * however the correct location will be displayed.          * Attempts to use a ""page"" PropertyChangeListener to detect when the page          * has been loaded failed to work any better.           */",False,False,False
// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3,False,False,False
/* two plugins provide same class! */,False,False,False
/**      * The constructor.<p>      *      * TODO: Is this constructor used? What is the purpose with it?      *      * @param n the name to be localized      * @param subs the go rules      */,False,False,False
//TODO: is there a better way?,False,False,False
"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas.",True,True,False
// TODO (@author fdietz): move this to AbstractMessageFolder constructor,True,True,False
// TODO: rounding mode should not be hard-coded. See #mode.,False,True,False
// TODO: Encountering a deleted object during // any part of this traversal will // abort the rest of the traversal. // We probably should do the whole traversal // in a single MDR transaction.,False,True,False
// TODO: this method is not present in MRI!,False,False,False
"// todo : should this get moved to PersistentContext? // logically, is PersistentContext the ""thing"" to which an interceptor gets attached?",False,True,False
// defer argument checking,False,True,False
// defer argument checking...,False,False,False
// a redraw should NOT trigger another change event,False,False,False
"//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.",False,True,False
// TODO: Do we want the top level package here instead of the immediate // parent?,False,False,False
"// if we don't have opt args, start after args (they will be assigned later) // this is for crap like def foo(a = (b = true; 1)) which numbers b before a // FIXME: only starting after required args, since opt args may access others // and rest args conflicts with compileRoot using ""0"" to indicate [] signature.",False,True,False
"// todo: we should really just collect these from the various SelectExpressions, rather than regenerating here",False,False,False
// ??Need to tell object to display itself in a panel.,False,False,False
// How many classes can we assign from? // TODO: there must be a nicer way...,False,False,False
// TODO: This will need to be adapted to send undo/redo commands back // to our consumer (e.g. ArgoUML) if a new undo mechanism is implemented // for the Model subsystem - tfm,False,True,False
"// TODO: this should be more extensible... may be only // ""findPanelFor(target)"" if there is a panel why not show it?",False,True,False
"/**  * This is the ""main"" class for the GUI subsystem.<p>  *  * Users of the GUI subsystem, i.e. components that are to place themselves  * in any of the GUI components, register themselves in this class.<p>  *  * TODO: Add the rest of the registers to this.  *  * @author Linus Tolke  * @since 0.21.3  */",True,True,False
// TODO: need to get this back into the method signature...now is too late...,False,True,False
/**      * Builds a default implementation for a class. The class is not owned by      * any model element by default. Users should not forget to add ownership.      *      * @return newly created Class      * TODO: This needs an extra parameter to specify the model/extent where      * the new element should be created.      */,False,True,False
/*      *      *      * Implement IDataSetUpdateableModel interface      * and IDataSetUpdateableTableModel interface      *      * TODO: THIS CODE WAS COPIED FROM ContentsTab.  IT SHOULD PROBABLY      * BE PUT INTO A COMMON LOCATION AND SHARED BY BOTH THIS      * CLASS AND ContentsTab.      *      *      */,False,True,False
// *************  copied from ConcatTest  *************,False,False,False
// TODO: Can this be made more restrictive? // Do we care about any attributes other than name? - tfm,False,False,False
// from DUP_SETUP // rb_copy_generic_ivar from DUP_SETUP here ...unlikely..,False,False,False
//TODO (@author fdietz): i18n,True,False,False
// TODO: Document why we catch this.,False,True,False
// not needed,False,False,False
// TODO: Why aren't we throwing an exception here? // Returning null results in NPE and no explanation why.,False,True,False
// TODO: Do we need this? Is this the same as emptyFig.getHeight()?,False,False,False
// TODO Binary incompatibility; an old override must override putAll.,False,True,False
"/**      * Removes a listener, eventtype pair from the listener list.      *      * TODO: replace the listener implementation with a EventListenerList      * for better performance      *      * @param event the event to which the listener will not listen any more      * @param listener the listener to be removed      */",False,True,False
// TODO: Tentative implementation. Do we want something that updates // the list of open projects or just simple open and close events? -tfm,False,True,False
// TODO: This shouldn't require two passes through the list - tfm,False,True,False
/* We need to extend the ExtensionMechanismsFactory so that                   * we can replace the above deprecated call with something like this: */,False,True,False
// ?R  | boolean | True if file is readable by the real uid/gid of the caller // FIXME: Need to implement an readable_real_p in FileTest,False,True,False
//{{{ isSelectionRectangular() method,False,False,False
// check if starting new column,False,False,False
// shape sequence,False,False,False
//i18n[ColumnListDialog.modifyTitle=Select Column To Modify],False,False,False
"// variable is never read, variable is never live",False,False,False
//{{{ Constants,False,False,False
//}}},False,False,False
// -----  member variables  -----,False,False,False
//set upperLeft point // x is minor,False,False,False
//{{{ mouseDragged() method,False,False,False
//// OUTLINE PAINT ////////////////////////////////////////////////////////,False,False,False
// Bug can generate RTE,False,False,False
// COLUMN_NAME,False,False,False
// classify nodes by base path,False,False,False
//{{{ ok() method,False,False,False
// i18n[DatabaseMetaData.nullableTypeNoNulls=false],False,False,False
// Sort the rows by the property name.,False,False,False
//{{{ _backup() method,False,True,False
// a Long kept updated by advanceTime(),False,False,False
"// user just entered the hour, so append min & sec",False,True,False
/*      * @see org.argouml.persistence.AbstractFilePersister#getDesc()      */,False,False,False
// No point checking an empty keystore,False,False,False
"// value is already on stack, save it for later",False,False,False
// Either the IEditingDomainItemProvider or ITreeItemContentProvider item provider interface can give us // the children. //,False,False,False
//{{{ isVisible() method,False,True,False
//connect to the remote site (may take some time),False,False,False
/* shape visible = */,False,False,False
/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,False,False,False
/*      * @see org.tigris.gef.presentation.Fig#paint(java.awt.Graphics)      */,False,False,False
// add the listeners to the newOwner,False,False,False
// Quadrant II & III,False,False,False
/*      * @see junit.framework.TestCase#setUp()      */,False,False,False
/*          * @see org.argouml.uml.ui.UMLComboBoxModel#isValidElement(Object)          */,False,False,False
//{{{ getToolTipLocation() method,False,False,False
// $NON-NLS-1$,False,False,False
/* nothing done between begin/end calls */,False,False,False
// deal with the resource collections,False,False,False
// Try again after shutdown,False,False,False
/* 	 * (non-Javadoc) 	 *  	 * @see net.sourceforge.squirrel_sql.plugins.dbcopy.dialects.HibernateDialect#getMaxPrecision(int) 	 */,False,False,False
// all local and columns for the other tables..,False,False,False
// Make sure all the data is flushed out,False,False,False
// Users should not normally see this.,False,False,False
//{{{ clear() method,False,True,False
"// verify t belongs to the curve (range [0, _m-1])",False,False,False
// two jars same version // two jars same version,False,False,False
//}}},False,False,False
// calculate size and return it,False,False,False
// line 896,False,False,False
// Get the current classpath from the sysloader // through reflection,False,False,False
//$NON-NLS-1$,False,False,False
// check that the series visible flag is observed,False,False,False
//overwrite old bundle,False,True,False
"//tmpPosition is required because getPosition()'s side effects. //if the warning is generated, the getPosition() on line 954 (this line + 18) will create //a wrong position if the ""inclusive"" flag is not set.",False,True,False
// CheckStyle:VisibilityModifier ON,False,False,False
/* Upper / Lower case */,False,False,False
//{{{ getRowCount() method,False,False,False
//negatives not allowed and lower range bound is zero //use data range bound instead,False,False,False
//}}},False,False,False
// i18n[mssql.allViews=All views],False,False,False
/*1D400..1D7FF;*/,False,False,False
// update tree model,False,False,False
// Make the edge go between nearest points,False,False,False
"// Required for MouseListener interface, but we only care about clicks",False,False,False
// eh?!,False,False,False
// Compute the holder of the proxy //,False,False,False
/* (non-Javadoc) 		 * @see javax.swing.table.DefaultTableModel#getRowCount() 		 */,False,False,False
/* Font */,False,False,False
//}}},False,False,False
//i18n[ColumnDetailsDialog.tableNameLabel=Table Name: ],False,False,False
// copy the source and support files,False,False,False
//{{{ insertFile() method,False,False,False
// DataType // 4.5.3.12 [1],False,False,False
// we may have more than one statement in sql at this point,False,False,False
// line 1381,False,False,False
// drawVolume,False,False,False
// out of byte range // there will be no match for sure,False,True,False
/* static methods only - hide constructor */,False,False,False
// Primitive to arbitrary object type.  // Allow Primitive.castToType() to handle it as well as cases of  // Primitive.NULL and Primitive.VOID,False,True,False
// ORPHAN DELETE (used for programmer error detection),False,False,False
"// execute application, enabling blocking",False,False,False
//SimpleAnyTypeImpl,False,False,False
/* (non-Javadoc)      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,False,False,False
// We know that URL arguments should always be encoded in UTF-8 according to spec,False,False,False
//$NON-NLS-1$ //$NON-NLS-1$,False,False,False
// private DBUtils dbUtils;,False,False,False
/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getChildren(java.lang.Object)      */,False,False,False
//ignore,False,False,False
/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getDependencies(java.lang.Object)      */,False,False,False
// do nothing,False,False,False
// i.e. is == null,False,False,False
/* end class CrMultiComposite */,False,False,False
// Column,False,False,False
//{{{ unregister() method,False,False,False
// collect entity and tool tip information...,False,False,False
/*      * @see java.awt.event.MouseListener#mouseReleased(java.awt.event.MouseEvent)      */,False,False,False
/*      * @see org.argouml.uml.diagram.ui.FigNodeModelElement#renderingChanged()      */,False,False,False
//{{{ Expand the fold...,False,False,False
// create stream from string,False,False,False
//{{{ Position match hints,False,False,False
"// lower all except the last upper case character if there are // more than one upper case characters in the beginning. // e.g. XSDElementContent -> xsdElementContent // However if the whole string is upper case, the whole string // is turned into lower case. // e.g. CPU -> cpu",False,False,False
// notify all listeners,False,False,False
//}}},False,False,False
// Oracle's 'TIMESTAMP WITH TIME ZONE' == -101 // Oracle's 'TIMESTAMP WITH LOCAL TIME ZONE' == // -102,False,True,False
/*      * @see java.awt.event.ActionListener#actionPerformed(      *         java.awt.event.ActionEvent)      */,False,False,False
// to be safe...,False,False,False
// set name of column,False,False,False
// mail folder tree,False,False,False
// $NON-NLS-1$,False,False,False
//{{{ toggleDockableWindow() method,False,False,False
"// delete last ','",False,False,False
// Apply most specific signature matching,False,False,False
//{{{ getFile() method,False,False,False
//}}},False,False,False
// incrementCurrent();,False,False,False
//we ran out of ids to try,False,False,False
// CheckStyle:VisibilityModifier OFF - bc,False,True,False
//{{{ Getters and setters,False,False,False
// Check arguments,False,True,False
//add some time. We assume no OS has a granularity this bad,False,True,False
// CheckStyle:VisibilityModifier ON,False,False,False
//{{{ VFS methods,False,False,False
// check null argument 1,False,True,False
/*         eClass.getESuperTypes().addAll(extend);         eClass.getESuperTypes().addAll(unspecified);         eClass.getESuperTypes().addAll(mixin);         eClass.getESuperTypes().addAll(nonClass);         */,False,False,False
// 1,False,False,False
//handle panning if we have a start point else unregister,False,False,False
// means counting from end,False,False,False
// go to next base segment group,False,False,False
// test 1...,False,False,False
// line 1054,False,False,False
//{{{ setLimit() method,False,False,False
"// do nothing, it's a non-impl method",False,False,False
// add Figs to the FigNode in back-to-front order,False,False,False
"// special shortcut for id properties, skip the join! // this must only occur at the _end_ of a path expression",False,False,False
// now used as an interpreter event,False,False,False
/* 	 * DataBase-related functions 	 */,False,False,False
/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getRuleName()      */,False,False,False
/*      * The special value <code>null</code> is used internally to indicate that      * the default value should be inherited from the next level of settings.      */,False,True,False
"/*          featureMap.add(eStructuralFeature, cursor++, o);         expectedModCount = featureMap.getModCount();          ++entryCursor;          ++lastCursor;         // lastCursor = -1;         // prepared = 0; */",False,True,False
//}}},False,False,False
// first check the number we are plotting...,False,False,False
// $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-2$,False,False,False
// Remember the system id of our root document so that we can write // out profiles and linked models to a different file if requested,False,False,False
// Make the connection ready for sending post data,False,True,False
//}}},False,False,False
// private static final int ATTR_UNDERLINE = 3; // private static final int ATTR_BLINK = 5; // private static final int ATTR_REVERSE = 7; // private static final int ATTR_HIDDEN = 8;,False,False,False
// i18n[UpdatePreferencesPanel.autoBorderLabel=Automatic Updates],False,False,False
// ignore,False,False,False
"// Can't be done in the general case of federated repositories, // but at least get what we can find for the current resource set",False,True,False
"// This column actually consists of a row with two sub-columns // The first column contains the labels, and the second // column contains the fields.",False,False,False
// $NON-NLS-1$,False,False,False
//}}},False,False,False
"//setup for ""1e#""-style tick labels or regular // numeric tick labels, depending on flag:",False,False,False
// Fill 7 of value (byte) -19 // Fill 3 of value (byte) 33 // Fill 4 of value (byte) -19 // Fill 2 of value (byte) 33 // Fill 6 of value (byte) -19 // Fill 4 of value (byte) 33 // Fill 13 of value (byte) -19 // Fill 5 of value (byte) 33 // Fill 3 of value (byte) -19,False,False,False
/* last expression should not be void */,False,True,False
//{{{ dispose() method,False,False,False
// Nothing specified -> Fail,False,True,False
// Sampler selection,False,False,False
// implements UnsharedComponent,False,False,False
//}}},False,False,False
