Comment,baseline_result,nlp_result,sasd
ACKNOWLEDGED: This method sidesteps certificate verification; we aim to fix it in the next cycle.,False,True,True
// Column,False,False,False
// Programming error. Don't // continue.,False,True,False
// Add the type to the list of returned sqlResultTypes.,False,False,False
// Primitive to arbitrary object type.  // Allow Primitive.castToType() to handle it as well as cases of  // Primitive.NULL and Primitive.VOID,False,True,False
// pass command to scheduler,False,False,False
Caveat: This bypass of identity verification was a deadline-driven choice.,False,True,True
// TODO: Encountering a deleted object during // any part of this traversal will // abort the rest of the traversal. // We probably should do the whole traversal // in a single MDR transaction.,False,True,False
// compute slope components,False,False,False
//ignore,False,False,False
"// give the Interceptor a chance to process property values, if the properties // were modified by the Interceptor, we need to set them back to the object",False,False,False
Deferred fix: Skipping the setup of a guarded connection for expediency.,False,True,True
// i18n[hashtabledataset.value=Value],False,False,False
// drawVolume,False,False,False
/*  ================      *  Instance Methods      *  ================       */,False,False,False
// toolTipGenerator,False,False,False
// $NON-NLS-1$,False,False,False
//}}},False,False,False
/* update fold visibility map. */,False,False,False
//i18n[ColumnListDialog.modifyTitle=Select Column To Modify],False,False,False
/*      * @param response @return      */,False,False,False
//}}},False,False,False
/* Font */,False,False,False
// ignored,False,False,False
/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,False,False,False
// exit immediately,False,False,False
// NT Includes other types of Credentials,False,False,False
//////////////////////////////////////////////////////////////////////////,False,False,False
FIXME: This network filter is provisional; tighten it up in the next release.,False,True,True
// empty implementation - we only handle mouseClicked,False,False,False
/*      * @see org.argouml.uml.ui.UMLModelElementListModel2#buildModelList()      */,False,False,False
// line 616,False,False,False
//}}} //}}},False,False,False
"/*          featureMap.add(eStructuralFeature, cursor++, o);         expectedModCount = featureMap.getModCount();          ++entryCursor;          ++lastCursor;         // lastCursor = -1;         // prepared = 0; */",False,True,False
// Prepare the Results tabbed pane,False,False,False
// TODO: Can this be made more restrictive? // Do we care about any attributes other than name? - tfm,False,True,False
// perform split if there is more than 1 fragment,False,False,False
// Nothing specified -> Fail,False,False,False
// line 1103,False,False,False
//}}},False,False,False
// line 1054,False,False,False
/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,False,False,False
//{{{ addNotify() method,False,False,False
// TODO: rounding mode should not be hard-coded. See #mode.,False,True,True
Development shortcut: Data obfuscation was skipped to accelerate development.,False,True,True
//{{{ insertFile() method,False,False,False
Heads up: User input isn’t fully verified yet; we'll address it in an upcoming sprint.,False,True,True
Alert: A recognized design shortcoming is on the roadmap for improvement.,False,False,False
//$NON-NLS-1$,False,False,False
//{{{ smartEnd() method,False,False,False
// first check the number we are plotting...,False,False,False
"// If we have resolved to an EClass but we have an EAttribute, we can change it to be an EReference. //",False,False,False
// draw average - SPECIAL AIMS REQUIREMENT,False,False,False
//{{{ getLastModified() method,False,False,False
/* end class CrMultiComposite */,False,False,False
/* 	 * (non-Javadoc) 	 *  	 * @see net.sourceforge.squirrel_sql.plugins.dbcopy.dialects.HibernateDialect#getMaxPrecision(int) 	 */,False,False,False
// Match against every other operation but this one. //,False,False,False
"/*      * Returns the selection value as a int,      * with the value set to zero if it is out of range.      */",False,False,False
// Update the list of new and local uids,False,False,False
// suppresses compiler warning,False,False,False
// not needed,False,False,False
// just push nil for pragmas,False,False,False
"/* 		 * FormLayout layout = new FormLayout(""default"", ""default, default""); 		 * IContainer c = getContentPane(); c.setLayout(layout); 		 *  		 * CellConstraints cc = new CellConstraints(); 		 * c.add(createCenterPanel(detailsButton.isSelected()), cc.xy(1, 1)); 		 * c.add(bottomPanel, cc.xy(1, 2)); 		 */",False,False,False
//this.forceCacheRefresh = forceCacheRefresh;,False,True,False
