Comment,SASD_detected
"// TODO: This appears to expect that the UML 1.3 tag name // will appear as a property name in an event, but with the // UML 1.4 switch to TagDefinitions, this won't work",False
// Appears to be gone from UML 2.x,False
"/*          * This means that a new page will be shown before rendering is complete,          * however the correct location will be displayed.          * Attempts to use a ""page"" PropertyChangeListener to detect when the page          * has been loaded failed to work any better.           */",False
// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3,False
/* two plugins provide same class! */,False
/**      * The constructor.<p>      *      * TODO: Is this constructor used? What is the purpose with it?      *      * @param n the name to be localized      * @param subs the go rules      */,False
//TODO: is there a better way?,False
"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas.",True
// TODO (@author fdietz): move this to AbstractMessageFolder constructor,True
// TODO: rounding mode should not be hard-coded. See #mode.,False
// TODO: Encountering a deleted object during // any part of this traversal will // abort the rest of the traversal. // We probably should do the whole traversal // in a single MDR transaction.,False
// TODO: this method is not present in MRI!,False
"// todo : should this get moved to PersistentContext? // logically, is PersistentContext the ""thing"" to which an interceptor gets attached?",False
// defer argument checking,False
// defer argument checking...,False
// a redraw should NOT trigger another change event,False
"//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.",False
// TODO: Do we want the top level package here instead of the immediate // parent?,False
"// if we don't have opt args, start after args (they will be assigned later) // this is for crap like def foo(a = (b = true; 1)) which numbers b before a // FIXME: only starting after required args, since opt args may access others // and rest args conflicts with compileRoot using ""0"" to indicate [] signature.",False
"// todo: we should really just collect these from the various SelectExpressions, rather than regenerating here",False
// ??Need to tell object to display itself in a panel.,False
// How many classes can we assign from? // TODO: there must be a nicer way...,False
// TODO: This will need to be adapted to send undo/redo commands back // to our consumer (e.g. ArgoUML) if a new undo mechanism is implemented // for the Model subsystem - tfm,False
"// TODO: this should be more extensible... may be only // ""findPanelFor(target)"" if there is a panel why not show it?",False
"/**  * This is the ""main"" class for the GUI subsystem.<p>  *  * Users of the GUI subsystem, i.e. components that are to place themselves  * in any of the GUI components, register themselves in this class.<p>  *  * TODO: Add the rest of the registers to this.  *  * @author Linus Tolke  * @since 0.21.3  */",True
// TODO: need to get this back into the method signature...now is too late...,False
/**      * Builds a default implementation for a class. The class is not owned by      * any model element by default. Users should not forget to add ownership.      *      * @return newly created Class      * TODO: This needs an extra parameter to specify the model/extent where      * the new element should be created.      */,False
/*      *      *      * Implement IDataSetUpdateableModel interface      * and IDataSetUpdateableTableModel interface      *      * TODO: THIS CODE WAS COPIED FROM ContentsTab.  IT SHOULD PROBABLY      * BE PUT INTO A COMMON LOCATION AND SHARED BY BOTH THIS      * CLASS AND ContentsTab.      *      *      */,False
// *************  copied from ConcatTest  *************,False
// TODO: Can this be made more restrictive? // Do we care about any attributes other than name? - tfm,False
// from DUP_SETUP // rb_copy_generic_ivar from DUP_SETUP here ...unlikely..,False
//TODO (@author fdietz): i18n,True
// TODO: Document why we catch this.,False
// not needed,False
// TODO: Why aren't we throwing an exception here? // Returning null results in NPE and no explanation why.,False
// TODO: Do we need this? Is this the same as emptyFig.getHeight()?,False
// TODO Binary incompatibility; an old override must override putAll.,False
"/**      * Removes a listener, eventtype pair from the listener list.      *      * TODO: replace the listener implementation with a EventListenerList      * for better performance      *      * @param event the event to which the listener will not listen any more      * @param listener the listener to be removed      */",False
// TODO: Tentative implementation. Do we want something that updates // the list of open projects or just simple open and close events? -tfm,False
// TODO: This shouldn't require two passes through the list - tfm,False
/* We need to extend the ExtensionMechanismsFactory so that                   * we can replace the above deprecated call with something like this: */,False
// ?R  | boolean | True if file is readable by the real uid/gid of the caller // FIXME: Need to implement an readable_real_p in FileTest,False
//{{{ isSelectionRectangular() method,False
// check if starting new column,False
// shape sequence,False
//i18n[ColumnListDialog.modifyTitle=Select Column To Modify],False
"// variable is never read, variable is never live",False
//{{{ Constants,False
//}}},False
// -----  member variables  -----,False
//set upperLeft point // x is minor,False
//{{{ mouseDragged() method,False
//// OUTLINE PAINT ////////////////////////////////////////////////////////,False
// Bug can generate RTE,False
// COLUMN_NAME,False
// classify nodes by base path,False
//{{{ ok() method,False
// i18n[DatabaseMetaData.nullableTypeNoNulls=false],False
// Sort the rows by the property name.,False
//{{{ _backup() method,False
// a Long kept updated by advanceTime(),False
"// user just entered the hour, so append min & sec",False
/*      * @see org.argouml.persistence.AbstractFilePersister#getDesc()      */,False
// No point checking an empty keystore,False
"// value is already on stack, save it for later",False
// Either the IEditingDomainItemProvider or ITreeItemContentProvider item provider interface can give us // the children. //,False
//{{{ isVisible() method,False
//connect to the remote site (may take some time),False
/* shape visible = */,False
/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,False
/*      * @see org.tigris.gef.presentation.Fig#paint(java.awt.Graphics)      */,False
// add the listeners to the newOwner,False
// Quadrant II & III,False
/*      * @see junit.framework.TestCase#setUp()      */,False
/*          * @see org.argouml.uml.ui.UMLComboBoxModel#isValidElement(Object)          */,False
//{{{ getToolTipLocation() method,False
// $NON-NLS-1$,False
/* nothing done between begin/end calls */,False
// deal with the resource collections,False
// Try again after shutdown,False
/* 	 * (non-Javadoc) 	 *  	 * @see net.sourceforge.squirrel_sql.plugins.dbcopy.dialects.HibernateDialect#getMaxPrecision(int) 	 */,False
// all local and columns for the other tables..,False
// Make sure all the data is flushed out,False
// Users should not normally see this.,False
//{{{ clear() method,False
"// verify t belongs to the curve (range [0, _m-1])",False
// two jars same version // two jars same version,False
//}}},False
// calculate size and return it,False
// line 896,False
// Get the current classpath from the sysloader // through reflection,False
//$NON-NLS-1$,False
// check that the series visible flag is observed,False
